customer_id,industry,company_size,total_spend,gift_frequency,average_gift_value,customer_satisfaction,preferred_gift_type
115,Education,Small,13796.53,42,49.41,4.62,"Gift Cards, Custom Gifts, Experiences"
116,Education,Enterprise,64727.0,26,61.54,4.11,"Experiences, Gift Cards"
117,Energy,Small,2207.82,45,288.82,5.0,Custom Gifts
118,Finance,Medium,26082.32,25,71.45,4.17,"Gift Cards, Physical Gifts, Custom Gifts"
119,Real Estate,Small,13648.83,13,103.28,3.52,"Physical Gifts, Gift Cards"
120,Healthcare,Enterprise,232394.33,9,42.1,4.34,Custom Gifts
121,Tech,Medium,21387.78,13,100.0,4.18,Experiences
122,Finance,Large,59472.8,16,81.67,3.7,"Custom Gifts, Experiences, Gift Cards"
123,Tech,Small,10354.72,1,60.31,3.49,"Gift Cards, Physical Gifts"
124,Education,Medium,28253.0,50,36.7,4.11,"Experiences, Custom Gifts, Gift Cards"
125,Hospitality,Medium,23359.91,17,33.47,2.87,Custom Gifts
126,Hospitality,Medium,4841.54,10,90.08,4.0,Custom Gifts
127,Hospitality,Enterprise,26392.51,44,55.37,5.0,"Custom Gifts, Physical Gifts, Gift Cards"
128,Manufacturing,Small,9422.97,34,107.77,3.76,"Gift Cards, Experiences"
129,Manufacturing,Large,106221.34,18,22.15,4.09,"Experiences, Custom Gifts"
130,Healthcare,Enterprise,29093.64,9,92.2,3.75,Custom Gifts
131,Energy,Medium,1158.22,12,35.25,3.22,"Physical Gifts, Experiences, Custom Gifts"
132,Manufacturing,Small,41220.03,5,40.01,4.16,Experiences
133,Healthcare,Large,9793.62,32,42.79,4.34,"Physical Gifts, Experiences, Gift Cards"
134,Hospitality,Medium,32788.84,40,51.83,4.44,"Custom Gifts, Gift Cards, Experiences"
135,Real Estate,Large,4034.34,26,53.95,3.89,"Physical Gifts, Gift Cards, Experiences"
136,Energy,Large,3385.1,19,28.86,3.61,"Gift Cards, Custom Gifts, Experiences"
137,Finance,Medium,24280.58,37,38.89,5.0,"Physical Gifts, Custom Gifts"
138,Retail,Medium,8241.07,2,74.6,3.98,Custom Gifts
139,Hospitality,Medium,2969.34,33,78.0,5.0,"Physical Gifts, Experiences, Custom Gifts"
140,Finance,Large,28762.57,2,82.2,4.0,Physical Gifts
141,Insurance,Enterprise,73046.24,29,80.27,4.61,"Gift Cards, Experiences, Physical Gifts"
142,Healthcare,Medium,11055.07,48,92.44,4.34,"Gift Cards, Physical Gifts, Custom Gifts"
143,Tech,Enterprise,8665.34,25,59.53,4.31,"Experiences, Custom Gifts"
144,Tech,Large,41089.43,38,37.11,4.99,Experiences
145,Insurance,Enterprise,10221.11,13,53.46,4.33,"Physical Gifts, Gift Cards"
146,Tech,Medium,26715.51,45,58.15,3.57,"Custom Gifts, Experiences, Gift Cards"
147,Retail,Medium,11330.83,13,83.33,4.68,Custom Gifts
148,Finance,Large,61336.0,14,103.42,4.12,Physical Gifts
149,Healthcare,Medium,12390.18,47,91.84,4.55,"Experiences, Physical Gifts"
150,Real Estate,Large,10607.3,32,94.46,3.76,Physical Gifts
151,Insurance,Small,144664.89,20,38.16,4.81,Gift Cards
152,Retail,Small,7172.89,44,35.49,3.63,Gift Cards
153,Tech,Enterprise,13294.95,29,43.43,3.68,Custom Gifts
154,Healthcare,Enterprise,33613.41,27,39.97,3.86,"Custom Gifts, Physical Gifts, Experiences"
155,Healthcare,Enterprise,6176.09,26,43.3,4.44,Physical Gifts
156,Insurance,Enterprise,111436.09,23,48.9,3.44,"Custom Gifts, Experiences, Gift Cards"
157,Energy,Small,57583.8,8,73.97,3.93,"Physical Gifts, Gift Cards, Custom Gifts"
158,Tech,Large,26740.82,39,93.48,4.06,"Custom Gifts, Gift Cards"
159,Education,Enterprise,30186.03,5,40.21,5.0,"Gift Cards, Experiences, Physical Gifts"
160,Tech,Medium,82283.61,21,92.78,5.0,"Physical Gifts, Custom Gifts, Experiences"
161,Finance,Large,8399.35,11,30.79,4.74,Custom Gifts
162,Healthcare,Medium,11977.55,17,79.19,3.59,"Gift Cards, Custom Gifts, Physical Gifts"
163,Insurance,Small,44963.98,8,62.95,3.79,"Gift Cards, Custom Gifts"
164,Manufacturing,Small,5483.26,30,34.65,5.0,"Custom Gifts, Experiences, Physical Gifts"
165,Insurance,Large,12861.74,10,29.51,3.19,"Experiences, Gift Cards"
166,Real Estate,Large,28026.0,36,22.81,4.66,Gift Cards
167,Healthcare,Large,7990.52,2,77.04,3.51,"Experiences, Gift Cards"
168,Retail,Large,61411.31,47,53.26,3.33,"Custom Gifts, Physical Gifts"
169,Healthcare,Large,61805.96,48,45.54,4.65,"Experiences, Physical Gifts, Custom Gifts"
170,Hospitality,Small,27858.04,47,76.69,4.19,"Experiences, Custom Gifts"
171,Energy,Small,76903.43,24,107.21,3.91,"Experiences, Physical Gifts"
172,Real Estate,Large,20496.13,8,57.56,4.16,"Custom Gifts, Gift Cards, Physical Gifts"
173,Hospitality,Medium,30533.4,35,57.88,4.06,"Experiences, Physical Gifts, Custom Gifts"
174,Tech,Large,43819.43,15,145.15,4.87,"Experiences, Physical Gifts"
175,Healthcare,Small,56875.0,36,75.03,4.62,"Physical Gifts, Custom Gifts, Gift Cards"
176,Retail,Small,13364.9,47,98.79,4.41,Physical Gifts
177,Hospitality,Small,75033.87,36,101.54,4.13,"Custom Gifts, Gift Cards"
178,Education,Small,9233.04,40,24.41,4.33,"Custom Gifts, Physical Gifts, Gift Cards"
179,Insurance,Medium,24336.74,30,26.66,4.3,"Physical Gifts, Gift Cards, Experiences"
180,Finance,Medium,23214.88,37,32.37,5.0,"Custom Gifts, Physical Gifts, Experiences"
181,Real Estate,Enterprise,63120.35,19,16.86,4.58,"Experiences, Custom Gifts"
182,Insurance,Enterprise,32046.61,12,73.95,3.93,Gift Cards
183,Insurance,Large,14105.05,27,48.72,4.17,Physical Gifts
184,Retail,Enterprise,29129.57,48,35.56,4.77,"Experiences, Gift Cards, Physical Gifts"
185,Real Estate,Medium,5929.82,20,66.49,3.84,"Gift Cards, Physical Gifts"
186,Energy,Enterprise,75133.8,10,23.73,4.23,Custom Gifts
187,Manufacturing,Small,22256.83,37,27.59,4.36,"Custom Gifts, Physical Gifts, Experiences"
188,Manufacturing,Medium,52107.75,37,70.27,3.98,"Experiences, Physical Gifts, Custom Gifts"
189,Hospitality,Medium,23373.74,48,40.27,4.0,Experiences
190,Real Estate,Medium,10019.53,43,54.83,4.08,Physical Gifts
191,Education,Small,12036.27,28,6.43,4.75,Physical Gifts
192,Manufacturing,Enterprise,29569.17,50,24.46,5.0,"Custom Gifts, Physical Gifts, Experiences"
193,Tech,Small,14907.73,43,117.54,3.77,"Gift Cards, Experiences, Physical Gifts"
194,Healthcare,Medium,59970.33,7,128.15,3.42,"Custom Gifts, Gift Cards"
195,Tech,Medium,19199.0,15,79.19,3.2,"Experiences, Physical Gifts, Custom Gifts"
196,Manufacturing,Medium,46518.38,31,50.12,4.69,"Custom Gifts, Physical Gifts"
197,Manufacturing,Small,33179.29,37,30.94,4.29,Experiences
198,Energy,Medium,31501.15,23,63.26,4.56,Gift Cards
199,Retail,Small,38182.33,13,62.56,4.42,Custom Gifts
200,Manufacturing,Small,19617.6,21,57.96,4.6,"Physical Gifts, Custom Gifts"
201,Energy,Enterprise,12932.71,26,83.21,4.4,"Gift Cards, Physical Gifts"
202,Energy,Enterprise,24924.28,1,66.73,4.24,"Custom Gifts, Experiences, Physical Gifts"
203,Energy,Large,14247.21,38,72.53,4.97,Experiences
204,Insurance,Enterprise,144813.81,7,22.27,3.68,"Experiences, Physical Gifts"
205,Healthcare,Medium,15695.34,13,35.56,3.5,"Custom Gifts, Physical Gifts"
206,Finance,Large,12435.78,16,41.85,3.12,"Physical Gifts, Custom Gifts"
207,Insurance,Large,89527.1,3,129.74,3.64,"Gift Cards, Physical Gifts, Experiences"
208,Education,Medium,98071.42,33,40.68,4.67,Gift Cards
209,Healthcare,Large,2213.86,7,64.94,3.6,Gift Cards
210,Finance,Enterprise,347812.9,14,38.78,3.13,Physical Gifts
211,Retail,Small,14369.12,14,39.36,3.68,Physical Gifts
212,Hospitality,Large,97614.53,14,66.34,3.3,Physical Gifts
213,Energy,Large,5891.32,10,42.2,4.1,Custom Gifts
214,Tech,Enterprise,140216.03,50,82.29,4.5,"Physical Gifts, Experiences, Gift Cards"
215,Energy,Small,5041.99,50,29.17,4.23,Physical Gifts
216,Finance,Small,56545.6,36,64.21,4.89,"Gift Cards, Physical Gifts, Experiences"
217,Real Estate,Small,12205.27,17,43.7,4.37,Experiences
218,Healthcare,Medium,18934.54,49,34.23,4.16,"Gift Cards, Experiences"
219,Manufacturing,Large,11865.55,28,55.24,5.0,Experiences
220,Education,Small,37385.91,27,124.77,3.66,"Physical Gifts, Gift Cards"
221,Finance,Small,31979.98,44,53.86,5.0,"Physical Gifts, Custom Gifts"
222,Real Estate,Small,11223.64,12,41.45,4.5,"Custom Gifts, Physical Gifts, Gift Cards"
223,Education,Large,32029.29,50,52.82,4.28,Custom Gifts
224,Tech,Small,10961.2,48,127.35,5.0,Gift Cards
225,Education,Small,70544.12,2,98.91,3.67,Physical Gifts
226,Healthcare,Large,8564.47,9,61.32,3.13,"Physical Gifts, Custom Gifts"
227,Education,Enterprise,38551.64,23,53.03,3.09,"Custom Gifts, Gift Cards, Physical Gifts"
228,Hospitality,Large,1398.04,15,45.48,4.62,"Physical Gifts, Experiences"
229,Education,Small,58662.77,28,21.93,5.0,Gift Cards
230,Energy,Small,2985.84,3,83.19,3.63,"Custom Gifts, Gift Cards, Physical Gifts"
231,Real Estate,Large,25319.2,44,29.02,4.8,Physical Gifts
232,Healthcare,Small,11914.11,46,91.09,3.21,"Custom Gifts, Physical Gifts"
233,Finance,Medium,24827.24,32,88.68,4.46,"Physical Gifts, Custom Gifts, Gift Cards"
234,Healthcare,Small,144124.68,49,62.02,4.58,"Gift Cards, Experiences, Custom Gifts"
235,Retail,Large,31421.86,49,118.21,4.65,"Physical Gifts, Experiences, Gift Cards"
236,Education,Small,22332.89,21,81.29,4.31,Physical Gifts
237,Real Estate,Small,29555.09,46,90.49,4.75,"Physical Gifts, Gift Cards"
238,Healthcare,Large,8334.13,28,39.94,4.78,Physical Gifts
239,Education,Medium,13429.15,24,85.49,3.54,"Custom Gifts, Gift Cards, Physical Gifts"
240,Education,Small,22664.64,2,25.77,2.66,Custom Gifts
241,Real Estate,Enterprise,26842.64,7,60.75,4.23,"Gift Cards, Experiences"
242,Hospitality,Large,3097.98,35,103.03,3.91,"Physical Gifts, Custom Gifts, Gift Cards"
243,Manufacturing,Large,13735.25,6,26.77,3.66,Experiences
244,Real Estate,Large,21040.39,13,29.1,4.78,"Physical Gifts, Custom Gifts, Gift Cards"
245,Insurance,Large,24407.86,48,160.78,3.92,"Physical Gifts, Custom Gifts, Experiences"
246,Healthcare,Medium,46171.76,26,59.57,4.37,Physical Gifts
247,Manufacturing,Enterprise,6495.44,8,126.72,4.17,"Experiences, Gift Cards"
248,Manufacturing,Small,181065.58,23,41.08,3.84,"Custom Gifts, Gift Cards"
249,Finance,Large,19651.33,14,67.1,3.65,"Custom Gifts, Physical Gifts"
250,Retail,Medium,19165.18,7,56.05,4.07,"Physical Gifts, Experiences, Custom Gifts"
251,Insurance,Medium,15819.96,30,44.35,4.49,"Physical Gifts, Custom Gifts"
252,Manufacturing,Large,18699.41,48,63.9,5.0,Physical Gifts
253,Energy,Enterprise,60196.4,17,78.48,3.13,Experiences
254,Retail,Small,18698.36,5,69.04,4.55,"Custom Gifts, Experiences"
255,Healthcare,Enterprise,81005.18,20,43.3,3.79,Custom Gifts
256,Manufacturing,Enterprise,54089.45,29,94.14,3.64,Physical Gifts
257,Retail,Medium,13977.06,18,37.64,4.22,"Gift Cards, Experiences"
258,Education,Small,18748.83,42,52.16,5.0,"Gift Cards, Custom Gifts"
259,Tech,Enterprise,13707.68,24,42.28,3.62,Gift Cards
260,Finance,Enterprise,56442.7,27,45.33,4.91,"Custom Gifts, Experiences, Physical Gifts"
261,Tech,Medium,4298.95,49,47.22,5.0,"Physical Gifts, Gift Cards"
262,Healthcare,Enterprise,117554.4,12,105.64,3.08,"Custom Gifts, Gift Cards, Physical Gifts"
263,Manufacturing,Enterprise,2242.08,23,71.9,3.14,"Physical Gifts, Experiences"
264,Insurance,Enterprise,12230.77,1,76.73,4.43,"Custom Gifts, Physical Gifts"
265,Tech,Small,12246.89,50,35.76,4.53,"Gift Cards, Custom Gifts"
266,Real Estate,Medium,34949.12,23,85.64,4.04,Gift Cards
267,Insurance,Large,69426.34,30,48.58,4.64,"Physical Gifts, Experiences"
268,Hospitality,Small,22761.03,42,22.36,4.94,"Physical Gifts, Gift Cards, Custom Gifts"
269,Energy,Large,84717.6,49,48.82,4.25,Gift Cards
270,Hospitality,Enterprise,10520.28,15,69.61,4.14,Experiences
271,Hospitality,Small,7050.12,31,53.95,4.19,"Physical Gifts, Custom Gifts"
272,Real Estate,Medium,25080.85,14,40.22,4.49,"Gift Cards, Custom Gifts, Experiences"
273,Education,Large,38075.62,19,98.45,3.34,Experiences
274,Tech,Enterprise,38618.29,3,79.12,4.51,"Gift Cards, Custom Gifts"
275,Tech,Small,100291.53,15,94.29,3.15,"Custom Gifts, Physical Gifts, Gift Cards"
276,Tech,Large,6929.64,13,22.51,3.92,"Experiences, Physical Gifts, Custom Gifts"
277,Manufacturing,Small,53185.97,27,55.33,3.95,"Gift Cards, Experiences"
278,Real Estate,Medium,48474.83,20,72.39,4.7,"Experiences, Physical Gifts"
279,Energy,Enterprise,40504.91,44,65.04,3.44,"Gift Cards, Custom Gifts, Experiences"
280,Insurance,Enterprise,310412.54,45,57.71,5.0,"Gift Cards, Custom Gifts"
281,Energy,Small,15911.72,40,57.36,3.58,Physical Gifts
282,Tech,Medium,10218.92,41,67.61,4.55,Gift Cards
283,Finance,Small,106467.75,12,83.43,3.79,"Experiences, Gift Cards"
284,Retail,Large,124895.88,9,49.32,4.35,Gift Cards
285,Manufacturing,Enterprise,22180.07,29,75.12,4.83,"Gift Cards, Physical Gifts, Experiences"
286,Healthcare,Large,30418.54,1,51.79,4.2,"Experiences, Custom Gifts"
287,Energy,Medium,9599.38,30,55.33,4.11,"Experiences, Custom Gifts, Gift Cards"
288,Manufacturing,Enterprise,55313.38,29,114.79,4.48,"Gift Cards, Experiences, Physical Gifts"
289,Energy,Enterprise,200665.43,24,35.17,3.79,"Gift Cards, Experiences"
290,Education,Large,12989.05,50,62.32,4.72,"Gift Cards, Physical Gifts"
291,Retail,Medium,53017.17,37,28.16,5.0,"Experiences, Physical Gifts"
292,Education,Medium,50045.08,13,51.61,4.83,"Custom Gifts, Gift Cards"
293,Manufacturing,Medium,58754.85,12,21.23,3.72,"Gift Cards, Custom Gifts"
294,Healthcare,Large,5142.03,25,117.05,4.26,"Gift Cards, Custom Gifts, Experiences"
295,Energy,Small,18029.27,34,76.71,5.0,"Custom Gifts, Experiences, Physical Gifts"
296,Insurance,Small,6039.21,36,69.42,4.68,"Custom Gifts, Experiences"
297,Insurance,Small,17979.06,36,93.88,4.79,Custom Gifts
298,Healthcare,Large,20849.88,3,66.46,4.18,Physical Gifts
299,Hospitality,Large,31996.78,48,71.92,3.47,"Gift Cards, Experiences, Custom Gifts"
300,Energy,Enterprise,18015.92,44,37.89,4.67,Custom Gifts
301,Energy,Medium,25484.95,11,31.88,4.2,"Physical Gifts, Experiences"
302,Retail,Large,62438.42,36,26.42,4.15,"Custom Gifts, Gift Cards"
303,Tech,Medium,76525.96,51,22.09,4.89,"Gift Cards, Physical Gifts, Experiences"
304,Energy,Small,38310.23,32,95.02,3.85,"Experiences, Custom Gifts"
305,Manufacturing,Small,30719.32,11,99.94,3.82,Physical Gifts
306,Energy,Large,58182.24,41,181.05,3.75,"Physical Gifts, Gift Cards, Custom Gifts"
307,Healthcare,Large,35673.69,22,57.12,3.83,Custom Gifts
308,Education,Large,36556.09,28,37.96,4.48,"Physical Gifts, Experiences"
309,Education,Small,25355.8,7,123.34,4.37,Gift Cards
310,Manufacturing,Enterprise,216376.5,10,94.3,4.06,"Gift Cards, Physical Gifts, Experiences"
311,Hospitality,Small,15234.83,45,88.87,4.68,"Experiences, Custom Gifts"
312,Education,Enterprise,13350.76,32,54.43,4.49,Experiences
313,Finance,Enterprise,16143.36,25,71.47,3.61,"Gift Cards, Experiences, Physical Gifts"
314,Hospitality,Medium,23938.56,21,55.4,4.46,"Custom Gifts, Experiences"
315,Real Estate,Large,26570.77,11,60.33,4.19,"Experiences, Physical Gifts"
316,Energy,Enterprise,132241.27,4,82.85,4.32,"Custom Gifts, Physical Gifts, Gift Cards"
317,Education,Enterprise,4853.27,26,75.82,4.22,"Gift Cards, Experiences, Physical Gifts"
318,Manufacturing,Medium,29451.88,17,107.94,4.43,"Gift Cards, Experiences, Physical Gifts"
319,Hospitality,Large,70309.34,41,55.75,4.32,"Experiences, Physical Gifts, Custom Gifts"
320,Manufacturing,Enterprise,3718.99,25,129.58,3.64,"Custom Gifts, Gift Cards"
321,Manufacturing,Enterprise,12203.8,20,39.32,3.4,Gift Cards
322,Real Estate,Medium,363555.81,51,131.14,4.58,"Custom Gifts, Gift Cards"
323,Hospitality,Enterprise,40035.77,26,42.56,4.29,"Experiences, Physical Gifts, Gift Cards"
324,Hospitality,Small,84835.39,27,42.15,4.7,"Gift Cards, Experiences, Physical Gifts"
325,Education,Large,2348.58,35,197.9,3.39,"Physical Gifts, Custom Gifts, Experiences"
326,Real Estate,Enterprise,57860.98,49,130.1,5.0,"Experiences, Gift Cards"
327,Tech,Large,19069.48,8,49.63,3.83,Physical Gifts
328,Hospitality,Medium,47557.79,37,38.69,4.2,Physical Gifts
329,Retail,Enterprise,36498.58,34,61.3,4.33,"Physical Gifts, Experiences"
330,Manufacturing,Large,11137.24,33,58.92,4.38,"Gift Cards, Experiences"
331,Energy,Small,7716.65,25,32.69,4.38,"Custom Gifts, Experiences"
332,Tech,Small,16368.29,37,69.58,4.96,Gift Cards
333,Hospitality,Large,28321.56,7,34.45,4.38,"Physical Gifts, Custom Gifts"
334,Hospitality,Enterprise,59466.44,45,45.99,4.86,Gift Cards
